s_id,company_name,phone,adress,supplier_metadata
1,Talane,965-938-0723,30 Novick Parkway,
2,Feedbug,560-789-8786,8 Surrey Junction,
3,Dabtype,125-730-8402,58695 Browning Hill,
4,Kwinu,797-677-7750,98 Del Mar Lane,
5,Gigashots,238-910-9338,2320 Elgar Park,
6,Feedspan,779-327-0574,55749 Lake View Junction,
7,Photobug,408-746-5007,26932 Elgar Hill,
8,Vinte,530-287-4589,89352 Hansons Avenue,
9,Photojam,571-477-0052,5 Dryden Crossing,
10,Oyoba,205-824-4856,75 Beilfuss Park,
11,Rhycero,642-246-1324,,
12,Topicstorm,920-744-9493,4 Del Sol Terrace,
13,Fivebridge,360-518-4459,7 Superior Crossing,
14,Quaxo,684-543-4042,86823 Springview Point,
15,Katz,246-447-0642,230 Bluejay Alley,
16,Skimia,821-291-6809,32 Debra Road,
17,Mymm,634-253-5692,55469 Sycamore Crossing,
18,Aimbo,441-883-2341,,
19,Quire,899-568-0420,42290 Tomscot Avenue,
20,Photobug,147-235-2519,12249 Crescent Oaks Alley,
21,Npath,313-867-4464,,
22,BlogXS,539-477-6354,,
23,Voonte,386-303-0281,,
24,Yodo,685-255-9790,238 Fulton Avenue,
25,Tambee,373-993-1095,64 Maryland Point,
26,Skippad,489-937-8190,37 Bultman Trail,
27,Twitterlist,684-771-4002,,
28,Feednation,413-969-2782,17 Canary Trail,
29,Gigashots,313-292-7284,9558 Holy Cross Crossing,
30,Yamia,753-227-5410,93852 Pierstorff Park,
31,Topiczoom,993-866-5906,50 Helena Road,
32,Jabberbean,389-893-8346,25353 Shelley Court,
33,Feedmix,518-293-5760,097 Tomscot Street,
34,Buzzster,544-662-6508,18 Morningstar Parkway,
35,Wikido,465-516-5326,,
36,Katz,299-490-0784,24 Susan Court,
37,Youopia,249-232-7747,59983 Pepper Wood Alley,
38,Trudoo,579-884-5036,474 Drewry Court,
39,Dynabox,135-803-0885,90 Anderson Pass,
40,Yakitri,775-582-9477,40397 Havey Avenue,
41,Vidoo,403-857-4456,,
42,Devpoint,286-108-6824,,
43,Tavu,792-213-0778,61139 Jenifer Crossing,
44,Pixonyx,403-800-3499,57 Almo Street,
45,Babbleset,615-271-2053,9902 Coleman Street,
46,Wordware,747-448-1491,0 Donald Junction,
47,Skyble,809-145-2776,54 Talmadge Drive,
48,Geba,894-519-1893,3997 Moland Lane,
49,Gevee,870-422-9047,25 Caliangt Road,
50,Rhycero,512-645-8232,386 Debs Pass,
51,Jayo,880-470-5788,17911 West Crossing,
52,Brainbox,950-319-7737,58 Arkansas Hill,
53,Demivee,629-209-5585,1001 6th Terrace,
54,Gabvine,458-398-9517,9 Steensland Terrace,
55,Fivechat,545-550-6568,,
56,Eadel,227-947-7148,8 Merrick Street,
57,Quimm,362-283-3926,63745 Emmet Court,
58,Shufflebeat,791-254-5896,96972 Porter Trail,
59,Skyndu,183-109-9201,00 Hoard Plaza,
60,Twitterlist,525-285-5667,231 Reindahl Road,
61,Meejo,430-963-2590,671 Hauk Alley,
62,Trilith,978-300-1141,,
63,Chatterbridge,809-678-4736,4 Crowley Court,
64,Buzzbean,678-875-9435,5 Thackeray Street,
65,Browsezoom,788-256-9542,68198 Lakeland Trail,
66,Innojam,465-330-7932,973 Mcguire Point,
67,Yakitri,830-386-3870,62195 Truax Park,
68,Fivechat,397-162-0577,,
69,Babbleset,941-618-2709,46458 Haas Park,
70,Yamia,598-593-3281,7 Rutledge Circle,
71,Oba,745-328-6916,7511 Logan Court,
72,Yabox,562-882-1677,,
73,Babbleset,467-649-8347,01195 Sutherland Place,
74,Meembee,302-965-3629,72 Mesta Alley,
75,Demizz,453-653-7604,6 Anderson Road,
76,Yozio,732-707-9530,0 Manitowish Center,
77,Feedspan,480-466-8861,2311 Spenser Circle,
78,Tekfly,371-852-1547,3 Schlimgen Center,
79,Voomm,678-367-3549,58 Fremont Road,
80,Wikibox,138-646-3917,506 Waywood Pass,
81,Aibox,994-875-7170,4977 Grover Street,
82,Jetwire,465-920-1311,,
83,Youopia,419-109-1512,135 Monterey Hill,
84,Blogtag,546-203-8435,,
85,Rhybox,946-758-3905,39119 Brown Point,
86,Geba,142-935-8831,181 Havey Plaza,
87,Flipstorm,506-595-8687,47 Hermina Avenue,
88,Tagpad,439-423-2635,2606 Gale Crossing,
89,Fivebridge,410-831-8155,,
90,Jaxworks,251-991-9634,714 Towne Way,
91,Thoughtbridge,471-723-2754,9251 Logan Terrace,
92,Eazzy,299-437-4698,839 Truax Center,
93,Babblestorm,155-500-5832,14287 Laurel Road,
94,Bubbletube,567-597-9338,33302 Dawn Park,
95,Dazzlesphere,109-529-7574,07 Loeprich Trail,
96,Flashdog,583-369-4977,62322 Loeprich Point,
97,Quinu,713-926-8013,5858 Melrose Trail,
98,Jayo,539-318-2702,70 Holy Cross Terrace,
99,Quimm,281-438-7058,8 Roth Pass,
100,Flashdog,686-864-0555,41328 Delladonna Alley,
101,Jabbercube,401-789-7235,238 Grim Hill,
102,Skyble,152-302-2596,92808 La Follette Lane,
103,Edgeclub,728-833-3888,63 Stephen Trail,
104,Voonte,958-771-1011,40641 Vera Place,
105,Skipstorm,582-126-5091,8733 Bartillon Plaza,
106,Ainyx,643-233-2786,9 Quincy Trail,
107,Divape,681-996-7226,0 Logan Lane,
108,Cogilith,309-580-2085,446 Vahlen Plaza,
109,Mita,373-807-3701,04185 Golf View Junction,
110,Trunyx,480-389-7812,394 Weeping Birch Trail,
111,Oyoba,677-654-9044,4 Red Cloud Plaza,
112,Mydeo,624-172-4804,92466 Algoma Lane,
113,Linktype,503-658-9448,561 Maryland Junction,
114,Yakitri,850-782-9790,66 Pepper Wood Alley,
115,Gigazoom,701-460-2189,952 Sunnyside Street,
116,Teklist,879-707-5603,09002 Tennyson Junction,
117,Browsedrive,289-321-8317,79 Sheridan Hill,
118,Babbleset,808-316-8905,1 Lerdahl Crossing,
119,Voomm,351-848-3690,212 Graedel Circle,
120,Wikizz,502-513-5845,14 Carpenter Court,
121,Zoombeat,115-127-4870,33361 Eliot Road,
122,Thoughtstorm,753-387-1660,,
123,Wikido,202-590-1106,00807 Scofield Street,
124,Buzzshare,946-254-4289,,
125,Skimia,205-721-5885,212 Spaight Terrace,
126,Chatterbridge,185-451-9149,,
127,Vinte,247-594-1767,8 Florence Point,
128,Oozz,692-549-7900,99 Claremont Trail,
129,Jaxspan,131-638-9523,,
130,Tagopia,776-435-8028,25374 Golf View Junction,
131,Twinte,204-739-8530,29318 Utah Circle,
132,Twitterwire,411-204-4309,6 Kings Crossing,
133,Feedfire,414-739-0378,5007 Moulton Street,
134,Feednation,485-472-3472,34557 Hayes Park,
135,Cogilith,458-916-0285,68 Mesta Hill,
136,Blogspan,972-501-1906,36 Walton Pass,
137,Tanoodle,611-955-0027,99639 Shelley Plaza,
138,Brainlounge,371-726-9125,486 Atwood Way,
139,Quinu,688-710-5198,92457 Prairie Rose Place,
140,InnoZ,790-654-0711,4 Schiller Pass,
141,Bubbletube,424-495-6431,8589 Fuller Street,
142,Ainyx,572-766-1900,001 Pawling Center,
143,Quimm,243-760-1243,80 Fallview Hill,
144,Trunyx,803-196-5014,11270 Melvin Drive,
145,Tazz,988-199-3249,,
146,Thoughtstorm,570-846-0438,34 Fuller Road,
147,Brainbox,222-708-0878,445 Granby Place,
